# Pathway	SSM01_Abundance	SSM02_Abundance	SSM03_Abundance	SSM04_Abundance	SSM05_Abundance	SSM06_Abundance	SSM07_Abundance	SSM08_Abundance	SSM09_Abundance	SSM10_Abundance	SSM11_Abundance	SSM12_Abundance	SSM13_Abundance	SSM14_Abundance	SSM15_Abundance	SSM16_Abundance	SSM17_Abundance	SSM18_Abundance	SSM19_Abundance	SSM20_Abundance	SSM21_Abundance	SSM22_Abundance	SSM23_Abundance	SSM24_Abundance	SSM25_Abundance	SSM26_Abundance	SSM27_Abundance	SSM28_Abundance	SSM29_Abundance	SSM30_Abundance	SSM31_Abundance	SSM32_Abundance	SSM33_Abundance	SSM34_Abundance	SSM35_Abundance	SSM36_Abundance	SSM37_Abundance	SSM38_Abundance	SSM39_Abundance	SSM40_Abundance	SSM41_Abundance
UNINTEGRATED|g__Absiella.s__Absiella_dolichum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123086	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0	0	0.0159437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000377185	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Actinomyces.s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0.00617347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.23013e-05	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	5.40652e-05	0	0	0	0	0.00119986	0	0	0	0	0	0.000520032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0.0108578	0.0146426	0	0	0	0.00352169	0	0	0	0	0	0.00196482	0	0	0	0	0	0	0	0.00363269	0.00761089	0	0.0027377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0.0159533	0	0	0	0	0	0	0	0	0	0	0.0297117	0.118809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	0.0182974	0	0.0504306	0.0229957	0.20799	0.00514525	0	0	0	0	0	0.00101952	0	0.00170295	0.006825	0.00960614	0.00070509	0	0	0.00844708	0.0035998	0.0270817	0	0	0	0	0.0324022	0	0.0967218	0.00937619	0.0014878	0	0	0.232441	0.0014182	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_indistinctus	0	0	0	0	0	0	0	0	0	0	0	0.000941188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00153517	0	0	0	0	0	0	0	0.00266466	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_inops	0	0	0	0	0	0.00503792	0	0	0	0	0	0.018158	0	0	0	0	0	0	0	0.0149669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Alistipes.s__Alistipes_onderdonkii	0.00282649	0	0.00637516	0.0031361	0.0420824	0.00158371	0	0	0	0	0	0.00169513	0	0	0	0	0	0	0	0	0.00192517	0	0	0	0	0	0.00391666	0	0.00811402	0	0	0	0	0.021253	0	0	0	0	0	0	0
