# Pathway	SSM01_Abundance	SSM02_Abundance	SSM03_Abundance	SSM04_Abundance	SSM05_Abundance	SSM06_Abundance	SSM07_Abundance	SSM08_Abundance	SSM09_Abundance	SSM10_Abundance	SSM11_Abundance	SSM12_Abundance	SSM13_Abundance	SSM14_Abundance	SSM15_Abundance	SSM16_Abundance	SSM17_Abundance	SSM18_Abundance	SSM19_Abundance	SSM20_Abundance	SSM21_Abundance	SSM22_Abundance	SSM23_Abundance	SSM24_Abundance	SSM25_Abundance	SSM26_Abundance	SSM27_Abundance	SSM28_Abundance	SSM29_Abundance	SSM30_Abundance	SSM31_Abundance	SSM32_Abundance	SSM33_Abundance	SSM34_Abundance	SSM35_Abundance	SSM36_Abundance	SSM37_Abundance	SSM38_Abundance	SSM39_Abundance	SSM40_Abundance	SSM41_Abundance
UNMAPPED	0.302725	0.236353	0.265755	0.298903	0.235796	0.359978	0.189786	0.391239	0.869952	0.225196	0.288065	0.307628	0.187909	0.210077	0.489219	0.451948	0.469109	0.335739	0.221175	0.384069	0.25549	0.346793	0.188866	0.36381	0.467351	0.365581	0.350536	0.31482	0.304293	0.330109	0.396721	0.407403	0.367398	0.416666	0.274446	0.353434	0.275531	0.26551	0.232865	0.204639	0.450424
UNINTEGRATED	0.655176	0.705026	0.697415	0.656858	0.722268	0.601224	0.77633	0.578383	0.127286	0.71885	0.656414	0.646521	0.740344	0.712953	0.483573	0.5208	0.502518	0.624673	0.74155	0.577589	0.680579	0.615347	0.77105	0.593354	0.501397	0.586319	0.608138	0.646119	0.655457	0.629776	0.566982	0.579804	0.591596	0.541086	0.694684	0.629268	0.681583	0.694936	0.749632	0.758782	0.548269
1CMET2-PWY: folate transformations III (E. coli)	0.000264143	0.000206176	0.000348022	0.000348826	0.000503164	0.000250349	0.000334121	0	0	0.000360832	0.000336021	0.000288582	5.29601e-06	0.000304443	0.00018704	0.000304749	0.000189567	0.000383473	0.000338069	0.000238134	0.000302954	0.000289987	0.000296658	0.000362808	0	0	0.000322001	0.000160263	0.000338456	0.000287331	0.000203781	0	0.00027822	0.000603861	0.000161791	0	0.000139006	0.000328087	0	0.000340172	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	9.58796e-05	0	0	0	0	0	0	1.67112e-05	0	0	0	0	0	0	0	0	4.18812e-06	0	0	0	0	0	0	8.41418e-05	0	0	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0	5.00392e-05	0	0	3.3741e-06	7.90387e-06	0	0	0	0	0	0	0	3.50165e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01743e-06	0	0	0	5.8526e-05	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0	3.20336e-05	0	1.21149e-05	0	0	2.24433e-05	0	0	0	0	0	0	2.25368e-05	0	3.35218e-06	0	8.68616e-06	0	0	1.95601e-05	0	0	2.67362e-05	0	0	0	0	5.90086e-06	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.000169459	0.000185504	0.000237806	0.000231561	6.32021e-05	0.000233164	0.000171369	0	0	3.10267e-05	0.00011488	0.000211617	6.31961e-05	0.000272711	9.63983e-05	0.000112458	5.79364e-05	0.000183062	0.000208714	0.000186779	0.000274471	9.6623e-05	9.71189e-06	0.000149116	0	0	0.000234408	3.99837e-05	0.000252622	0.000173618	0.000106566	0	0.000259396	0.000101558	0	0	0.000210702	0.00020585	0	0.000115521	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.000403792	0.000389678	0.000287528	0.000347996	0.000292786	0.000318925	0.000314357	0.00033002	0	7.53742e-05	0.000221822	0.000374276	0.000715819	0.000316088	0.000265906	0.000214205	0.000406831	0.000459317	0.000460227	0.000353426	0.000412424	0.000297847	0.000589576	0.000580419	0.000568534	0.000448432	0.000405625	0.00016185	0.000373967	0.000308757	0.000428712	0	0.000388034	0.000158948	0.000137993	0	0.000254958	0.000381285	0.000130288	0.000446465	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	1.79671e-05	0.000227916	0	7.69486e-05	6.13159e-05	7.05355e-05	0	0	0	0	0	3.77781e-05	0	0.000227072	2.87031e-05	0	2.99541e-05	3.24655e-05	2.75153e-05	0	0.000176811	0	0	5.56448e-05	0	0	4.17461e-05	0	0	9.23773e-05	0	0	5.39148e-06	0	0	0	0	0	0	4.11238e-05	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.46013e-06	0	0	0	0	0	0	0	0	0	0	0
