#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	SSM01.metaphlan_alltax	SSM02.metaphlan_alltax	SSM03.metaphlan_alltax	SSM04.metaphlan_alltax	SSM05.metaphlan_alltax	SSM06.metaphlan_alltax	SSM07.metaphlan_alltax	SSM08.metaphlan_alltax	SSM09.metaphlan_alltax	SSM10.metaphlan_alltax	SSM11.metaphlan_alltax	SSM12.metaphlan_alltax	SSM13.metaphlan_alltax	SSM14.metaphlan_alltax	SSM15.metaphlan_alltax	SSM16.metaphlan_alltax	SSM17.metaphlan_alltax	SSM18.metaphlan_alltax	SSM19.metaphlan_alltax	SSM20.metaphlan_alltax	SSM21.metaphlan_alltax	SSM22.metaphlan_alltax	SSM23.metaphlan_alltax	SSM24.metaphlan_alltax	SSM25.metaphlan_alltax	SSM26.metaphlan_alltax	SSM27.metaphlan_alltax	SSM28.metaphlan_alltax	SSM29.metaphlan_alltax	SSM30.metaphlan_alltax	SSM31.metaphlan_alltax	SSM32.metaphlan_alltax	SSM33.metaphlan_alltax	SSM34.metaphlan_alltax	SSM35.metaphlan_alltax	SSM36.metaphlan_alltax	SSM37.metaphlan_alltax	SSM38.metaphlan_alltax	SSM39.metaphlan_alltax	SSM40.metaphlan_alltax	SSM41.metaphlan_alltax
k__Bacteria	100.0	100.0	100.0	100.0	100.0	99.89026	100.0	100.0	100.0	100.0	100.0	100.0	99.99434	100.0	100.0	100.0	100.0	99.96949	100.0	99.51733	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	77.45758	87.25414	48.86074	49.08616	24.83739	48.19162	29.3589	99.58092	99.99688	8.39136	45.14324	50.54535	96.22246	29.19036	68.19125	64.4068	91.81746	72.80708	65.48345	60.30056	73.7409	56.05397	99.66753	96.41157	90.35588	64.59299	71.80007	98.70272	48.8087	45.09914	91.81987	84.70733	75.37434	54.5495	89.3283	98.10611	0.65447	62.46522	90.92885	81.55381	96.33674
k__Bacteria|p__Bacteroidetes	15.09566	0.6609	50.93962	26.93364	74.16466	24.46187	64.40845	0.26111	0.0	0.0	0.0	17.68097	0.21541	12.54088	7.66567	11.28624	1.14813	6.16686	18.75481	19.91977	4.1844	36.29014	0.0	0.0	0.0	0.0	21.00322	0.0	43.48765	23.63894	1.83097	0.14604	2.35948	42.49486	2.00753	0.0	0.0	27.25526	6.64411	17.63022	3.66326
k__Bacteria|p__Actinobacteria	7.44088	3.95416	0.19964	19.7708	0.14074	23.59288	0.59133	0.0	0.00312	0.0	0.0	28.33033	3.55647	24.16154	7.72278	2.48687	0.01263	4.74798	0.4338	16.71711	12.47152	4.15167	0.17219	3.58797	9.64412	0.25946	2.16528	1.04164	0.60642	12.53216	1.76723	15.14664	0.07689	0.67322	4.31087	0.0	0.0	6.11161	1.59687	0.81597	0.0
k__Bacteria|p__Proteobacteria	0.00588	8.1308	0.0	0.89575	0.85721	3.59875	5.64132	0.15797	0.0	91.60864	54.85676	3.41946	0.0	34.06492	0.33285	0.38469	0.01214	16.21415	15.32794	0.58467	9.60318	2.07823	0.10799	0.00046	0.0	35.14755	5.03142	0.03876	7.09723	18.72977	4.58194	0.0	22.18818	1.25146	4.3414	1.89389	99.34553	4.1458	0.83017	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	75.09886	83.35057	0.57386	46.84588	23.96273	46.46187	27.05974	0.0	98.92284	0.0	0.0	41.36786	0.36342	25.56377	64.57996	57.40212	82.07599	71.96719	65.3195	56.97235	71.30287	55.21602	98.8942	89.37621	90.35588	63.62315	70.02037	72.20155	47.15645	40.82076	90.05475	9.98301	68.78873	52.9393	54.73066	0.0	0.0	50.39173	7.20383	77.95864	19.36475
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15.09566	0.6609	50.93962	26.32776	74.16466	24.46187	64.40845	0.26111	0.0	0.0	0.0	17.68097	0.21541	12.54088	7.66567	11.28624	1.14813	6.16686	18.75481	19.91977	4.1844	36.29014	0.0	0.0	0.0	0.0	21.00322	0.0	43.48765	23.63894	1.83097	0.14604	2.35948	42.49486	2.00753	0.0	0.0	27.25526	6.64411	17.63022	3.66326
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.5353	0.62712	0.19964	14.99646	0.07855	19.82421	0.13615	0.0	0.00312	0.0	0.0	26.08819	3.55647	3.04968	0.30272	0.05071	0.01263	2.55592	0.25444	13.54827	12.47152	1.74329	0.17219	2.79359	0.29221	0.25946	0.97311	1.04164	0.0	7.50653	0.73647	15.14664	0.07281	0.17217	0.11895	0.0	0.0	5.90483	1.59687	0.43587	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2.90558	3.32704	0.0	4.77434	0.06219	3.76867	0.45519	0.0	0.0	0.0	0.0	2.15312	0.0	21.11186	7.42006	2.43616	0.0	2.19205	0.17936	3.16884	0.0	2.40838	0.0	0.79438	9.35191	0.0	1.19217	0.0	0.60642	5.02562	1.03075	0.0	0.00407	0.37152	3.7759	0.0	0.0	0.20678	0.0	0.38011	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.65066	0.62341	0.0	0.48908	0.0	0.55119	2.07965	0.0	0.03854	0.0	0.0	0.001	0.0	0.0	0.34759	0.02689	0.0	0.0	0.0	2.10342	2.35635	0.0	0.0	1.63412	0.0	0.0	0.0	1.88963	0.0	3.00434	0.09614	0.0	0.00372	0.68921	0.0	0.0	0.0	8.85901	1.66233	2.4816	0.0
